Chap Num,Scene Num,Speaker,Text,Background Img,Char 1,Char 2,Sounds,Is Special,Time
1,1,,Monday :),Classroom,,,,,
,2,,*Quiet chatting*,Classroom,,,,,
1,3,You,...,Classroom,,,,,
1,4,You,Monday mornings are always the worst.,Classroom,,,,,
1,5,,"(You sit at your desk, head down, waiting for your world history teacher, Mr. Harrison, to show up.)",Classroom,,,,,
1,6,,*Ding Dong*,Classroom,,,,,
1,7,You,He's late again.,Classroom,,,,,
1,8,Classmate A,"""It's tiiiiiime~""",Classroom,Classmate A,,,,
1,9,Classmate A,"""I'm adding another tally to the Late-ison board. Five dollars that he's gonna be more than three minutes late.""",Classroom,Classmate A,,,,
1,10,Classmate B,"""Bro, who would even want to take that?""",Classroom,Classmate A,Classmate B,,,
1,11,,"(As your classmates start conspiring on how late Mr. Harrison will be, the classroom door opens.)",Classroom,,,Door,,
1,12,,(Everyone falls silent as they turn to check who just walked in.),Classroom,,,,,
1,13,???,"""...What?""",Classroom,Kit Normal,,,,
,14,,(The students who were taking bets made sounds of a mixture of relief and annoyance and turn away.),Classroom,,,,,
1,15,Classmate B,"""Kit you scared us!""",Classroom,Kit Normal,Classmate B,,,
1,16,Kit,"""... I didn't do anything though?""",Classroom,Kit Annoyed,Classmate B,,,
1,17,Classmate C,"""Don't worry about it, Kit. It was just the usual before class betting.""",Classroom,Kit Annoyed,Classmate C,,,
1,18,Kit,"""The usual before class betting?""",Classroom,Kit Normal,Classmate C,,,
1,19,Classmate D,"""You know, 'cuz Mr. Harrison's been consistently late for the past month or so.""",Classroom,Kit Normal,Classmate D,,,
,20,Kit,"""Oh, right. That bet.""",Classroom,Kit Normal,,,,
,21,,"(Kit furrows his brow, walks over to his seat, and gets settled in.)",Classroom,Kit Annoyed,,,,
,22,Classmate A,"""Man, I thought I was about to lose five dollars but it was just Kit. We're all good""",Classroom,Classmate A,,,,
,23,You ,??????,Classroom,,,,,
,24,,(You look around in confusion. Nobody seems to find anything strange.),Classroom,,,,,
,25,You,What the fuck is going on?,Classroom,,,,,
,26,,(You lean over to your right.),Classroom,,,,,
,27,You,"""Hey Emily, can I ask you a question?""",Classroom,,,,,
,28,Emily,"""I'm really sorry, but can it wait? I forgot we had homework and I'm almost done.""",Classroom,Emily,,,,
,29,You,"""I'll be really quick...Did you... notice that Kit's finally back?""",Classroom,Emily,,,,
